Hook perform
[*] name:__cxa_finalize  address:0xb764f1f0
[*] name:gMallocLeakZygoteChild  address:0xb76a5de4
[*] name:gettid  address:0xb763ce40
[*] name:getpid  address:0xb763d600
[*] name:__libc_init  address:0xb760e4f0
[*] name:__libc_fini  address:0xb7617720
[*] name:exit  address:0xb764f730
[*] name:clock_gettime  address:0xb763e640
[*] name:__futex_wake_ex  address:0xb760e5f0
[*] name:__futex_syscall3  address:0xb763f640
[*] name:__futex_wait_ex  address:0xb760e630
[*] name:__futex_syscall4  address:0xb763f660
[*] name:__pthread_cleanup_push  address:0xb760e680
[*] name:__get_thread  address:0xb7619350
[*] name:__pthread_cleanup_pop  address:0xb760e6d0
[*] name:sigprocmask  address:0xb763e9b0
[*] name:_exit_with_stack_teardown  address:0xb763f5e0
[*] name:_exit_thread  address:0xb763cba0
[*] name:pthread_mutexattr_init  address:0xb760ebf0
[*] name:pthread_mutexattr_destroy  address:0xb760ec10
[*] name:pthread_mutexattr_gettype  address:0xb760ec30
[*] name:pthread_mutexattr_settype  address:0xb760ec60
[*] name:pthread_mutexattr_setpshared  address:0xb760eca0
[*] name:pthread_mutexattr_getpshared  address:0xb760ecd0
[*] name:pthread_mutex_trylock  address:0xb760f020
[*] name:pthread_mutex_lock_timeout_np  address:0xb760f120
[*] name:pthread_condattr_init  address:0xb760f570
[*] name:pthread_condattr_getpshared  address:0xb760f590
[*] name:pthread_condattr_setpshared  address:0xb760f5c0
[*] name:pthread_condattr_destroy  address:0xb760f5f0
[*] name:pthread_cond_destroy  address:0xb760f650
[*] name:pthread_cond_broadcast  address:0xb760f670
[*] name:pthread_cond_signal  address:0xb760f6e0
[*] name:pthread_cond_wait  address:0xb760f750
[*] name:__pthread_cond_timedwait_relative  address:0xb760fa10
[*] name:__pthread_cond_timedwait  address:0xb760fcd0
[*] name:pthread_cond_timedwait  address:0xb7610000
[*] name:pthread_cond_timedwait_monotonic  address:0xb7610330
[*] name:pthread_cond_timedwait_monotonic_np  address:0xb7610660
[*] name:pthread_cond_timedwait_relative_np  address:0xb7610990
[*] name:pthread_cond_timeout_np  address:0xb7610c50
[*] name:__pthread_gettid  address:0xb7610fd0
[*] name:__pthread_settid  address:0xb7610fe0
[*] name:sbrk  address:0xb7619860
[*] name:__bionic_name_mem  address:0xb765f290
[*] name:sysconf  address:0xb761c7d0
[*] name:time  address:0xb7646d70
[*] name:pthread_atfork  address:0xb7685640
[*] name:abort  address:0xb7616e90
[*] name:dlrealloc_in_place  address:0xb7614a90
[*] name:dlindependent_calloc  address:0xb76156c0
[*] name:dlindependent_comalloc  address:0xb7615a90
[*] name:dlbulk_free  address:0xb7615db0
[*] name:dlmalloc_inspect_all  address:0xb7615f00
[*] name:dlmalloc_trim  address:0xb7616150
[*] name:dlmalloc_footprint  address:0xb76165f0
[*] name:dlmalloc_max_footprint  address:0xb7616610
[*] name:dlmalloc_footprint_limit  address:0xb7616630
[*] name:dlmalloc_set_footprint_limit  address:0xb7616650
[*] name:dlmalloc_stats  address:0xb7616980
[*] name:fprintf  address:0xb7647520
[*] name:dlmallopt  address:0xb7616c50
[*] name:raise  address:0xb7619800
[*] name:sigaction  address:0xb763e980
[*] name:_exit  address:0xb763cb70
[*] name:__assert  address:0xb7616f40
[*] name:__assert2  address:0xb7616f80
[*] name:brk  address:0xb7616fc0
[*] name:__brk  address:0xb763d030
[*] name:__bionic_brk  address:0xb76a6ce8
[*] name:dirfd  address:0xb7617020
[*] name:fdopendir  address:0xb7617030
[*] name:fstat  address:0xb763e060
[*] name:opendir  address:0xb76170e0
[*] name:open  address:0xb7660880
[*] name:readdir  address:0xb7617170
[*] name:getdents  address:0xb763dad0
[*] name:readdir_r  address:0xb7617230
[*] name:closedir  address:0xb7617340
[*] name:close  address:0xb763d560
[*] name:rewinddir  address:0xb76173b0
[*] name:lseek  address:0xb763d590
[*] name:alphasort  address:0xb7617420
[*] name:strcoll  address:0xb7631250
[*] name:eventfd_read  address:0xb7617460
[*] name:read  address:0xb763d410
[*] name:eventfd_write  address:0xb76174a0
[*] name:write  address:0xb763d440
[*] name:futimens  address:0xb76174f0
[*] name:utimensat  address:0xb763e8a0
[*] name:getauxval  address:0xb7617530
[*] name:getcwd  address:0xb7617570
[*] name:__getcwd  address:0xb763e1b0
[*] name:strdup  address:0xb7659610
[*] name:__page_size  address:0xb76a205c
[*] name:__get_sp  address:0xb763f680
[*] name:getrlimit  address:0xb763d1f0
[*] name:pthread_attr_setstack  address:0xb7619010
[*] name:environ  address:0xb76a6844
[*] name:__system_properties_init  address:0xb76633a0
[*] name:__page_shift  address:0xb76a2058
[*] name:__umoddi3  address:0xb76870e0
[*] name:__udivdi3  address:0xb7686fdc
[*] name:strlen  address:0xb76422c0
[*] name:__strlen_chk  address:0xb76444b0
[*] name:writev  address:0xb763d8b0
[*] name:strcpy  address:0xb7686a10
[*] name:getuid  address:0xb763cd60
[*] name:basename  address:0xb7618850
[*] name:dirname  address:0xb7618a20
[*] name:basename_r  address:0xb7618b80
[*] name:dirname_r  address:0xb7618cd0
[*] name:__mmap2  address:0xb763d620
[*] name:madvise  address:0xb763d740
[*] name:pthread_attr_destroy  address:0xb7618ed0
[*] name:pthread_attr_setdetachstate  address:0xb7618f00
[*] name:pthread_attr_getdetachstate  address:0xb7618f40
[*] name:pthread_attr_setschedpolicy  address:0xb7618f60
[*] name:pthread_attr_getschedpolicy  address:0xb7618f70
[*] name:pthread_attr_setschedparam  address:0xb7618f80
[*] name:pthread_attr_getschedparam  address:0xb7618f90
[*] name:pthread_attr_setstacksize  address:0xb7618fa0
[*] name:pthread_attr_getstacksize  address:0xb7618fd0
[*] name:pthread_attr_setstackaddr  address:0xb7618fe0
[*] name:pthread_attr_getstackaddr  address:0xb7618ff0
[*] name:pthread_attr_getstack  address:0xb7619050
[*] name:pthread_attr_setguardsize  address:0xb7619070
[*] name:pthread_attr_getguardsize  address:0xb7619080
[*] name:pthread_getattr_np  address:0xb7619090
[*] name:pthread_attr_setscope  address:0xb76190c0
[*] name:pthread_attr_getscope  address:0xb76190e0
[*] name:pthread_detach  address:0xb76190f0
[*] name:pthread_equal  address:0xb7619160
[*] name:pthread_getcpuclockid  address:0xb7619170
[*] name:pthread_getschedparam  address:0xb76191e0
[*] name:sched_getparam  address:0xb763eed0
[*] name:sched_getscheduler  address:0xb763ee40
[*] name:pthread_join  address:0xb7619360
[*] name:pthread_self  address:0xb76194e0
[*] name:pthread_kill  address:0xb7619440
[*] name:tgkill  address:0xb763d0c0
[*] name:pthread_setname_np  address:0xb7619500
[*] name:prctl  address:0xb763d310
[*] name:pthread_setschedparam  address:0xb76196a0
[*] name:pthread_sigmask  address:0xb7619730
[*] name:__rt_sigprocmask  address:0xb763ea50
[*] name:scandir  address:0xb76198f0
[*] name:sched_getaffinity  address:0xb7619a90
[*] name:__sched_getaffinity  address:0xb763efc0
[*] name:__set_errno  address:0xb7619b00
[*] name:setlocale  address:0xb7619b30
[*] name:signalfd  address:0xb7619b40
[*] name:signalfd4  address:0xb763eb00
[*] name:sigwait  address:0xb7619b90
[*] name:__rt_sigtimedwait  address:0xb763ea90
[*] name:statvfs  address:0xb7619c20
[*] name:__statfs64  address:0xb763e4a0
[*] name:strcmp  address:0xb763f930
[*] name:fstatvfs  address:0xb7619e60
[*] name:__fstatfs64  address:0xb763dbf0
[*] name:strerror_r  address:0xb761a220
[*] name:strsignal  address:0xb761a3c0
[*] name:getpwuid_r  address:0xb761a4c0
[*] name:getpwuid  address:0xb761a8b0
[*] name:getpwnam_r  address:0xb761ab80
[*] name:_ctype_  address:0xb76a22d0
[*] name:strtoul  address:0xb7658ef0
[*] name:getpwnam  address:0xb761b150
[*] name:getgrouplist  address:0xb761b600
[*] name:getlogin  address:0xb761b630
[*] name:getgrgid  address:0xb761b900
[*] name:getgrnam  address:0xb761bb60
[*] name:getnetbyname  address:0xb761bf90
[*] name:getnetbyaddr  address:0xb761bfa0
[*] name:getprotobyname  address:0xb761bfb0
[*] name:getprotobynumber  address:0xb761bfc0
[*] name:endpwent  address:0xb761bfd0
[*] name:getmntent  address:0xb761c050
[*] name:ttyname  address:0xb761c0d0
[*] name:ttyname_r  address:0xb761c150
[*] name:getusershell  address:0xb761c1d0
[*] name:setusershell  address:0xb761c250
[*] name:endusershell  address:0xb761c2d0
[*] name:fopen  address:0xb761e8f0
[*] name:sscanf  address:0xb7648da0
[*] name:fgets  address:0xb761e5d0
[*] name:feof  address:0xb761e1a0
[*] name:__strchr_chk  address:0xb7644320
[*] name:clock_getres  address:0xb763e6a0
[*] name:tdestroy  address:0xb761c9c0
[*] name:mkstemp  address:0xb761f4f0
[*] name:unlink  address:0xb763dea0
[*] name:fdopen  address:0xb761e040
[*] name:tmpfile  address:0xb761cf30
[*] name:wait  address:0xb761cf70
[*] name:wait4  address:0xb763cc80
[*] name:wait3  address:0xb761cfb0
[*] name:waitpid  address:0xb761cff0
[*] name:waitid  address:0xb761d030
[*] name:__waitid  address:0xb763cc40
[*] name:__wait4  address:0xb761d080
[*] name:btowc  address:0xb761d0c0
[*] name:fwprintf  address:0xb761d0d0
[*] name:wprintf  address:0xb761d100
[*] name:swprintf  address:0xb761d130
[*] name:vwprintf  address:0xb761d160
[*] name:vfwprintf  address:0xb761d190
[*] name:vswprintf  address:0xb761d1c0
[*] name:fwscanf  address:0xb761d1f0
[*] name:wscanf  address:0xb761d220
[*] name:swscanf  address:0xb761d250
[*] name:iswalnum  address:0xb761d280
[*] name:iswalpha  address:0xb761d2c0
[*] name:iswcntrl  address:0xb761d300
[*] name:iswdigit  address:0xb761d340
[*] name:iswgraph  address:0xb761d380
[*] name:iswlower  address:0xb761d3c0
[*] name:iswprint  address:0xb761d400
[*] name:iswpunct  address:0xb761d440
[*] name:iswspace  address:0xb761d480
[*] name:iswupper  address:0xb761d4c0
[*] name:iswxdigit  address:0xb761d500
[*] name:iswctype  address:0xb761d540
[*] name:fgetwc  address:0xb761d720
[*] name:fgetc  address:0xb76471e0
[*] name:fgetws  address:0xb761d750
[*] name:fputwc  address:0xb761d790
[*] name:fputc  address:0xb7647560
[*] name:fputws  address:0xb761d7c0
[*] name:fputs  address:0xb761ead0
[*] name:fwide  address:0xb761d7f0
[*] name:getwc  address:0xb761d800
[*] name:getc  address:0xb761ede0
[*] name:__srget  address:0xb761fa10
[*] name:getwchar  address:0xb761d860
[*] name:mbsinit  address:0xb761d8c0
[*] name:mbrlen  address:0xb761d8d0
[*] name:mbrtowc  address:0xb761d8e0
[*] name:mbsrtowcs  address:0xb761d940
[*] name:memchr  address:0xb7640790
[*] name:mbstowcs  address:0xb761d9d0
[*] name:putwc  address:0xb761da50
[*] name:putwchar  address:0xb761da80
[*] name:putc  address:0xb761f5f0
[*] name:__swbuf  address:0xb764ef80
[*] name:towlower  address:0xb761db10
[*] name:_tolower_tab_  address:0xb76a22d4
[*] name:towupper  address:0xb761db40
[*] name:_toupper_tab_  address:0xb76a22d8
[*] name:ungetwc  address:0xb761db70
[*] name:ungetc  address:0xb7648fd0
[*] name:wcrtomb  address:0xb761dba0
[*] name:wcsftime  address:0xb761dbc0
[*] name:strftime  address:0xb763c110
[*] name:wcsrtombs  address:0xb761dc00
[*] name:wcstombs  address:0xb761dc90
[*] name:wcstod  address:0xb761dd10
[*] name:strtod  address:0xb7651150
[*] name:wcstol  address:0xb761dd40
[*] name:strtol  address:0xb7658c30
[*] name:wcstoul  address:0xb761dd80
[*] name:wcswcs  address:0xb761ddc0
[*] name:wctob  address:0xb761ddf0
[*] name:wctype  address:0xb761de00
[*] name:wcwidth  address:0xb761de60
[*] name:clearerr  address:0xb761de80
[*] name:flockfile  address:0xb765b8b0
[*] name:funlockfile  address:0xb765b920
[*] name:clearerr_unlocked  address:0xb761def0
[*] name:__sflush  address:0xb7647160
[*] name:__sflags  address:0xb761e7e0
[*] name:fcntl  address:0xb765b790
[*] name:__sfp  address:0xb7647270
[*] name:__sread  address:0xb7648e40
[*] name:__swrite  address:0xb7648eb0
[*] name:__sseek  address:0xb7648f30
[*] name:__sclose  address:0xb7648fa0
[*] name:feof_unlocked  address:0xb761e220
[*] name:ferror  address:0xb761e230
[*] name:ferror_unlocked  address:0xb761e2b0
[*] name:__slbexpand  address:0xb761e2c0
[*] name:fgetln  address:0xb761e330
[*] name:__srefill  address:0xb76489b0
[*] name:fgetpos  address:0xb761e590
[*] name:ftello  address:0xb7648250
[*] name:fileno  address:0xb761e760
[*] name:fileno_unlocked  address:0xb761e7d0
[*] name:fpurge  address:0xb761ea00
[*] name:fsetpos  address:0xb761eb70
[*] name:fseeko  address:0xb7647d30
[*] name:funopen  address:0xb761ebb0
[*] name:_fwalk  address:0xb761ec50
[*] name:__sglue  address:0xb76a21a0
[*] name:fwrite  address:0xb761ecd0
[*] name:getc_unlocked  address:0xb761ee60
[*] name:getchar  address:0xb761eea0
[*] name:getchar_unlocked  address:0xb761ef20
[*] name:__smakebuf  address:0xb761ef60
[*] name:_cleanup  address:0xb7647240
[*] name:isatty  address:0xb765e1f0
[*] name:__swhatbuf  address:0xb761f0d0
[*] name:mktemp  address:0xb761f5b0
[*] name:strchr  address:0xb76414d0
[*] name:arc4random_uniform  address:0xb765a830
[*] name:__memcpy_chk  address:0xb76441b0
[*] name:stat  address:0xb763e090
[*] name:mkdir  address:0xb763e0f0
[*] name:lstat  address:0xb763e0c0
[*] name:mkstemps  address:0xb761f4b0
[*] name:mkdtemp  address:0xb761f530
[*] name:putc_unlocked  address:0xb761f6a0
[*] name:putchar  address:0xb761f700
[*] name:putchar_unlocked  address:0xb761f7c0
[*] name:puts  address:0xb761f820
[*] name:putw  address:0xb761f8f0
[*] name:remove  address:0xb761f990
[*] name:rmdir  address:0xb763e150
[*] name:setbuf  address:0xb761fa60
[*] name:setvbuf  address:0xb761fb20
[*] name:setbuffer  address:0xb761faa0
[*] name:setlinebuf  address:0xb761fae0
[*] name:tempnam  address:0xb761fd80
[*] name:issetugid  address:0xb765e230
[*] name:getenv  address:0xb764f880
[*] name:tmpnam  address:0xb761ff60
[*] name:__swsetup  address:0xb761ffd0
[*] name:__sdidinit  address:0xb76b37b8
[*] name:__sinit  address:0xb7647490
[*] name:abs  address:0xb76200c0
[*] name:optind  address:0xb76a2064
[*] name:strncmp  address:0xb763f9b0
[*] name:opterr  address:0xb76a2068
[*] name:warnx  address:0xb765b380
[*] name:optopt  address:0xb76a2060
[*] name:optarg  address:0xb76b37bc
[*] name:optreset  address:0xb76b37c0
[*] name:getopt  address:0xb7620eb0
[*] name:getopt_long  address:0xb7620ef0
[*] name:getopt_long_only  address:0xb7620f20
[*] name:imaxabs  address:0xb7620f50
[*] name:__divdi3  address:0xb7686d00
[*] name:__moddi3  address:0xb7686e50
[*] name:imaxdiv  address:0xb7620f80
[*] name:labs  address:0xb7621030
[*] name:llabs  address:0xb7621040
[*] name:realpath  address:0xb7621990
[*] name:strlcpy  address:0xb7686bb0
[*] name:strrchr  address:0xb76418b0
[*] name:__memmove_chk  address:0xb7644200
[*] name:strlcat  address:0xb7686b00
[*] name:readlink  address:0xb763e120
[*] name:wcpcpy  address:0xb7621fa0
[*] name:wcpncpy  address:0xb7621fc0
[*] name:wcscasecmp  address:0xb7622030
[*] name:wcscspn  address:0xb76220a0
[*] name:wcsdup  address:0xb76220f0
[*] name:wcslen  address:0xb7643170
[*] name:wmemcpy  address:0xb7622670
[*] name:wcslcat  address:0xb7622160
[*] name:wcslcpy  address:0xb7622210
[*] name:wcsncasecmp  address:0xb7622280
[*] name:wcsncat  address:0xb7622300
[*] name:wcsncmp  address:0xb7622360
[*] name:wcsncpy  address:0xb76223a0
[*] name:wcsnlen  address:0xb7622400
[*] name:wcspbrk  address:0xb7622440
[*] name:wcsspn  address:0xb7622490
[*] name:wcsstr  address:0xb76224f0
[*] name:wcstok  address:0xb76225a0
[*] name:wmemchr  address:0xb7622630
[*] name:wmemmove  address:0xb76226b0
[*] name:memmove  address:0xb763f890
[*] name:wmemset  address:0xb76226f0
[*] name:SHA1Transform  address:0xb7622720
[*] name:SHA1Init  address:0xb7623af0
[*] name:SHA1Update  address:0xb7623b80
[*] name:SHA1Final  address:0xb7623ce0
[*] name:inet_addr  address:0xb7623f40
[*] name:inet_aton  address:0xb76241d0
[*] name:creat  address:0xb7624490
[*] name:ftw  address:0xb7624510
[*] name:fts_open  address:0xb765c780
[*] name:fts_read  address:0xb765d090
[*] name:fts_close  address:0xb765cfa0
[*] name:nftw  address:0xb7624660
[*] name:nice  address:0xb76248b0
[*] name:getpriority  address:0xb765def0
[*] name:setpriority  address:0xb763d190
[*] name:popen  address:0xb7624970
[*] name:socketpair  address:0xb763ec90
[*] name:pthread_rwlock_rdlock  address:0xb76858d0
[*] name:vfork  address:0xb763f810
[*] name:pthread_rwlock_unlock  address:0xb7685cd0
[*] name:execl  address:0xb7644890
[*] name:pipe2  address:0xb763d9d0
[*] name:dup2  address:0xb763da00
[*] name:pclose  address:0xb7624d40
[*] name:pthread_rwlock_wrlock  address:0xb7685ad0
[*] name:psignal  address:0xb7624e90
[*] name:psiginfo  address:0xb7624f80
[*] name:longjmperror  address:0xb7624f90
[*] name:utime  address:0xb7624fd0
[*] name:utimes  address:0xb763e870
[*] name:inet_ntoa  address:0xb7625080
[*] name:inet_ntop  address:0xb76257c0
[*] name:inet_pton  address:0xb7625b80
[*] name:__evConsIovec  address:0xb7625f30
[*] name:__evConsTime  address:0xb7625f60
[*] name:__evAddTime  address:0xb7625f80
[*] name:__evSubTime  address:0xb7625fb0
[*] name:__evCmpTime  address:0xb7625ff0
[*] name:__evNowTime  address:0xb7626030
[*] name:gettimeofday  address:0xb763e580
[*] name:__evUTCTime  address:0xb76260d0
[*] name:__evTimeSpec  address:0xb7626170
[*] name:__evTimeVal  address:0xb7626190
[*] name:regcomp  address:0xb762b540
[*] name:regfree  address:0xb762ffd0
[*] name:regerror  address:0xb762bcd0
[*] name:memcmp  address:0xb763fac0
[*] name:regexec  address:0xb762fed0
[*] name:__getdelim  address:0xb76300e0
[*] name:getdelim  address:0xb7630330
[*] name:getline  address:0xb76305b0
[*] name:bsearch  address:0xb76305f0
[*] name:div  address:0xb7630730
[*] name:drand48  address:0xb7630760
[*] name:__rand48_seed  address:0xb76a2084
[*] name:erand48  address:0xb7630790
[*] name:__dorand48  address:0xb7630b00
[*] name:ldexp  address:0xb765e240
[*] name:jrand48  address:0xb7630890
[*] name:ldiv  address:0xb7630910
[*] name:lldiv  address:0xb7630940
[*] name:lrand48  address:0xb76309f0
[*] name:mrand48  address:0xb7630a40
[*] name:nrand48  address:0xb7630a80
[*] name:__rand48_mult  address:0xb76a207e
[*] name:__rand48_add  address:0xb76a207c
[*] name:seed48  address:0xb7630bf0
[*] name:srand48  address:0xb7630cb0
[*] name:tdelete  address:0xb7630d00
[*] name:tfind  address:0xb7630e60
[*] name:tsearch  address:0xb7630f30
[*] name:memccpy  address:0xb7631030
[*] name:strcasestr  address:0xb7631130
[*] name:strncasecmp  address:0xb7659520
[*] name:strxfrm  address:0xb7631300
[*] name:killpg  address:0xb76313e0
[*] name:kill  address:0xb763d060
[*] name:asctime_r  address:0xb7631430
[*] name:__sprintf_chk  address:0xb76447b0
[*] name:asctime  address:0xb7631670
[*] name:__strcpy_chk  address:0xb76443a0
[*] name:difftime  address:0xb76318a0
[*] name:tzname  address:0xb76a2090
[*] name:__strncpy_chk  address:0xb7644580
[*] name:strncpy  address:0xb7686aa0
[*] name:tzsetwall  address:0xb7634dd0
[*] name:daylight  address:0xb76a71e0
[*] name:timezone  address:0xb76a71e4
[*] name:tzset  address:0xb7635030
[*] name:localtime  address:0xb7635610
[*] name:localtime_r  address:0xb7635c10
[*] name:gmtime  address:0xb7636370
[*] name:gmtime_r  address:0xb7636440
[*] name:ctime  address:0xb7636510
[*] name:ctime_r  address:0xb7636b20
[*] name:mktime  address:0xb7637140
[*] name:timelocal  address:0xb7637730
[*] name:timegm  address:0xb7637d30
[*] name:time2posix  address:0xb7637da0
[*] name:posix2time  address:0xb76383b0
[*] name:mktime_tz  address:0xb7638ab0
[*] name:localtime_tz  address:0xb7638e60
[*] name:mktime64  address:0xb7666aa0
[*] name:strftime_tz  address:0xb763c190
[*] name:strptime  address:0xb763cb30
[*] name:__fork  address:0xb763cbd0
[*] name:_waitpid  address:0xb763cc00
[*] name:__sys_clone  address:0xb763ccc0
[*] name:execve  address:0xb763cd00
[*] name:__setuid  address:0xb763cd30
[*] name:getgid  address:0xb763cd80
[*] name:geteuid  address:0xb763cda0
[*] name:getegid  address:0xb763cdc0
[*] name:getresuid  address:0xb763cde0
[*] name:getresgid  address:0xb763ce10
[*] name:readahead  address:0xb763ce60
[*] name:getgroups  address:0xb763cea0
[*] name:getpgid  address:0xb763ced0
[*] name:getppid  address:0xb763cf00
[*] name:getsid  address:0xb763cf20
[*] name:setsid  address:0xb763cf50
[*] name:setgid  address:0xb763cf70
[*] name:__setreuid  address:0xb763cfa0
[*] name:__setresuid  address:0xb763cfd0
[*] name:setresgid  address:0xb763d000
[*] name:tkill  address:0xb763d090
[*] name:__ptrace  address:0xb763d0f0
[*] name:__set_thread_area  address:0xb763d130
[*] name:__getpriority  address:0xb763d160
[*] name:setrlimit  address:0xb763d1c0
[*] name:getrusage  address:0xb763d220
[*] name:setgroups  address:0xb763d250
[*] name:setpgid  address:0xb763d280
[*] name:setregid  address:0xb763d2b0
[*] name:chroot  address:0xb763d2e0
[*] name:capget  address:0xb763d350
[*] name:capset  address:0xb763d380
[*] name:acct  address:0xb763d3e0
[*] name:pread64  address:0xb763d470
[*] name:pwrite64  address:0xb763d4b0
[*] name:__open  address:0xb763d4f0
[*] name:__openat  address:0xb763d520
[*] name:__llseek  address:0xb763d5c0
[*] name:mremap  address:0xb763d6a0
[*] name:msync  address:0xb763d6e0
[*] name:mlock  address:0xb763d770
[*] name:munlock  address:0xb763d7a0
[*] name:mlockall  address:0xb763d7d0
[*] name:munlockall  address:0xb763d800
[*] name:mincore  address:0xb763d820
[*] name:__ioctl  address:0xb763d850
[*] name:readv  address:0xb763d880
[*] name:__fcntl  address:0xb763d8e0
[*] name:flock  address:0xb763d910
[*] name:fchmod  address:0xb763d940
[*] name:dup  address:0xb763d970
[*] name:pipe  address:0xb763d9a0
[*] name:select  address:0xb763da30
[*] name:ftruncate  address:0xb763da70
[*] name:ftruncate64  address:0xb763daa0
[*] name:fsync  address:0xb763db00
[*] name:fdatasync  address:0xb763db30
[*] name:fchown  address:0xb763db60
[*] name:sync  address:0xb763db90
[*] name:__fcntl64  address:0xb763dbc0
[*] name:sendfile  address:0xb763dc20
[*] name:fstatat  address:0xb763dc60
[*] name:mkdirat  address:0xb763dca0
[*] name:fchownat  address:0xb763dcd0
[*] name:fchmodat  address:0xb763dd10
[*] name:renameat  address:0xb763dd50
[*] name:fsetxattr  address:0xb763dd90
[*] name:fgetxattr  address:0xb763ddd0
[*] name:flistxattr  address:0xb763de10
[*] name:fremovexattr  address:0xb763de40
[*] name:link  address:0xb763de70
[*] name:unlinkat  address:0xb763ded0
[*] name:chdir  address:0xb763df00
[*] name:mknod  address:0xb763df30
[*] name:chmod  address:0xb763df60
[*] name:chown  address:0xb763df90
[*] name:lchown  address:0xb763dfc0
[*] name:mount  address:0xb763dff0
[*] name:umount2  address:0xb763e030
[*] name:rename  address:0xb763e180
[*] name:__access  address:0xb763e1e0
[*] name:faccessat  address:0xb763e210
[*] name:symlink  address:0xb763e250
[*] name:fchdir  address:0xb763e280
[*] name:truncate  address:0xb763e2b0
[*] name:setxattr  address:0xb763e2e0
[*] name:lsetxattr  address:0xb763e320
[*] name:getxattr  address:0xb763e360
[*] name:lgetxattr  address:0xb763e3a0
[*] name:listxattr  address:0xb763e3e0
[*] name:llistxattr  address:0xb763e410
[*] name:removexattr  address:0xb763e440
[*] name:lremovexattr  address:0xb763e470
[*] name:unshare  address:0xb763e4d0
[*] name:swapon  address:0xb763e500
[*] name:swapoff  address:0xb763e530
[*] name:pause  address:0xb763e560
[*] name:settimeofday  address:0xb763e5b0
[*] name:times  address:0xb763e5e0
[*] name:nanosleep  address:0xb763e610
[*] name:clock_settime  address:0xb763e670
[*] name:clock_nanosleep  address:0xb763e6d0
[*] name:getitimer  address:0xb763e710
[*] name:setitimer  address:0xb763e740
[*] name:__timer_create  address:0xb763e770
[*] name:__timer_settime  address:0xb763e7a0
[*] name:__timer_gettime  address:0xb763e7e0
[*] name:__timer_getoverrun  address:0xb763e810
[*] name:__timer_delete  address:0xb763e840
[*] name:timerfd_create  address:0xb763e8e0
[*] name:timerfd_settime  address:0xb763e910
[*] name:timerfd_gettime  address:0xb763e950
